,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
728,Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,15-Day IL,04/03/24,04/18/24,,No timetable for return
729,Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,10-Day IL,04/04/24,04/14/24,,Expected to miss at least 1 month
730,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
731,Bennett Sousa,HOU,RP,04/03/24,Thoracic outlet syndrome surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
732,Daniel Duarte,MIN,RP,04/03/24,Strained triceps,15-Day IL,04/04/24,04/19/24,,No timetable for return
733,Jonathan Loáisiga,NYY,RP,04/03/24,Torn elbow ligament (UCL),60-Day IL,04/04/24,06/03/24,,Out for 2024 season
734,Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
735,Victor Robles,WSN,OF,04/03/24,Strained hamstring,10-Day IL,04/04/24,04/14/24,,No timetable for return
736,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
737,Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),10-Day IL,04/06/24,04/16/24,,Questionable for 2024 season
738,Julian Merryweather,CHC,RP,04/05/24,Rib stress fracture,60-Day IL,04/06/24,06/05/24,,No timetable for return
739,John Brebbia,CHW,RP,04/05/24,Strained calf,15-Day IL,04/06/24,04/21/24,,No timetable for return
740,Luis Robert Jr.,CHW,OF,04/05/24,Strained hip flexor,10-Day IL,04/06/24,04/16/24,,Expected to miss at least 6-8 weeks
741,Ryan Borucki,PIT,RP,04/05/24,Triceps inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
742,Max Kepler,MIN,OF,04/06/24,Knee contusion,10-Day IL,04/07/24,04/22/24,,Rehab assignment (4/18)
743,Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),15-Day IL,04/07/24,04/22/24,,No timetable for return
744,Andy Ibáñez,DET,INF/OF,04/07/24,Strained hamstring,10-Day IL,04/08/24,04/18/24,,No timetable for return
745,Guillermo Zuñiga,LAA,RP,04/07/24,Strained pectoral,15-Day IL,04/08/24,04/23/24,,No timetable for return
746,Chase Silseth,LAA,SP,04/07/24,Elbow inflammation,15-Day IL,04/08/24,04/23/24,,No timetable for return
747,Brent Rooker,OAK,OF,04/07/24,Costochondral cartilage injury,10-Day IL,04/08/24,04/18/24,,No timetable for return
748,Collin Snider,SEA,RP,04/07/24,Knee contusion,15-Day IL,04/08/24,04/23/24,,No timetable for return
749,Justin Foscue,TEX,INF,04/07/24,Strained oblique,60-Day IL,04/08/24,06/07/24,,No timetable for return
750,Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
751,Cody Bolton,SEA,RP,04/08/24,Kidney stones,15-Day IL,04/06/24,04/21/24,,No timetable for return
752,Yoán Moncada,CHW,3B,04/09/24,Strained groin,60-Day IL,04/10/24,06/09/24,,Likely out until at least mid-July
753,Connor Brogdon,LAD,RP,04/09/24,Plantar fascitis,15-Day IL,04/10/24,04/25/24,,No timetable for return
754,Keibert Ruiz,WSN,C,04/09/24,Influenza,10-Day IL,04/12/24,04/22/24,,No timetable for return
755,Romy Gonzalez,BOS,INF/OF,04/10/24,Sprained wrist,10-Day IL,04/11/24,04/21/24,,No timetable for return
756,Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
757,Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,15-Day IL,04/11/24,04/26/24,,No timetable for return
758,Jon Berti,NYY,INF/OF,04/10/24,Strained groin,10-Day IL,04/11/24,04/21/24,,No timetable for return
759,Brandon Lowe,TBR,2B,04/10/24,Strained oblique,10-Day IL,04/09/24,04/19/24,,No timetable for return
760,Cody Bradford,TEX,SP,04/10/24,Strained lower back,15-Day IL,04/11/24,04/26/24,,No timetable for return
761,Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,15-Day IL,04/12/24,04/27/24,,No timetable for return
762,Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),15-Day IL,04/06/24,04/21/24,,Out for 2024 season
763,Tyler Wells,BAL,SP,04/12/24,Elbow inflammation,15-Day IL,04/13/24,04/28/24,,No timetable for return
764,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
765,Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
766,Christian Yelich,MIL,OF,04/12/24,Strained lower back,10-Day IL,04/13/24,04/23/24,,No timetable for return
767,Carlos Correa,MIN,SS,04/12/24,Strained oblique,10-Day IL,04/13/24,04/23/24,,No timetable for return
768,Angel Martínez,CLE,INF,04/13/24,Fractured hamate,60-Day IL,03/25/24,05/24/24,,No timetable for return
769,Kris Bryant,COL,1B/OF,04/13/24,Strained lower back,10-Day IL,04/14/24,04/24/24,,No timetable for return
770,Robert Stephenson,LAA,RP,04/13/24,Elbow discomfort,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
771,J.B. Bukauskas,MIL,RP,04/13/24,Strained triceps,15-Day IL,04/14/24,04/29/24,,No timetable for return
772,Marco Gonzales,PIT,SP,04/13/24,Strained forearm,15-Day IL,04/14/24,04/29/24,,No timetable for return
773,Seiya Suzuki,CHC,OF,04/14/24,Strained oblique,10-Day IL,04/15/24,04/25/24,,No timetable for return
774,Jake Burger,MIA,3B/1B,04/14/24,Strained oblique,10-Day IL,04/15/24,04/25/24,,No timetable for return
775,J.D. Davis,OAK,3B/1B,04/14/24,Strained groin,10-Day IL,04/15/24,04/25/24,,No timetable for return
776,Yu Darvish,SDP,SP,04/14/24,Neck tightness,15-Day IL,04/15/24,04/30/24,,No timetable for return
777,Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),10-Day IL,04/15/24,04/25/24,,No timetable for return
778,Ozzie Albies,ATL,2B,04/15/24,Fractured toe,10-Day IL,04/16/24,04/26/24,,No timetable for return
779,Tyler O'Neill,BOS,OF,04/15/24,Concussion,7-Day IL,04/16/24,04/23/24,,No timetable for return
780,Garrett Whitlock,BOS,SP,04/16/24,Strained oblique,15-Day IL,04/17/24,05/02/24,,No timetable for return
781,Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,15-Day IL,04/17/24,05/02/24,,No timetable for return
782,Brock Burke,TEX,RP,04/18/24,Hand surgery (non-throwing),60-Day IL,04/13/24,06/12/24,,No timetable for return
783,JT Chargois,MIA,RP,Feb '24,Neck spasms,15-Day IL,03/25/24,04/09/24,,No timetable for return
784,Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
785,Yu Darvish,SDP,SP,04/14/24,Neck tightness,15-Day IL,04/15/24,04/30/24,,No timetable for return
786,Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
787,Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),60-Day IL,03/28/24,05/27/24,,No timetable for return
788,Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
789,Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
790,Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
791,Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,60-Day IL,03/20/24,05/19/24,,Out for at least 1st half
792,Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
793,Sam Moll,CIN,RP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/29)
794,James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
795,Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
796,Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,15-Day IL,03/25/24,04/09/24,,No timetable for return
797,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
798,Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
799,Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
800,Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),60-Day IL,03/25/24,05/24/24,,No timetable for return
801,Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),15-Day IL,03/17/24,04/07/24,,No timetable for return
802,Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),15-Day IL,03/25/24,04/09/24,,No timetable for return
803,Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),60-Day IL,03/25/24,05/24/24,,No timetable for return
804,Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),60-Day IL,03/25/24,05/24/24,,No timetable for return
805,Jimmy Lambert,CHW,RP,02/25/24,Strained shoulder (rotator cuff),60-Day IL,03/28/24,05/27/24,,No timetable for return
806,Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
807,Dylan Covey,PHI,RP,03/01/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
808,Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,60-Day IL,03/17/24,05/22/24,,No timetable for return
809,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
810,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
811,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
812,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
813,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
814,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
815,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
816,Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),10-Day IL,03/26/24,04/05/24,,No timetable for return
817,Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,Out until at least August
818,Tylor Megill,NYM,SP,03/31/24,Strained shoulder,15-Day IL,04/01/24,04/16/24,,No timetable for return
819,Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,15-Day IL,04/03/24,04/18/24,,No timetable for return
820,Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),10-Day IL,04/06/24,04/16/24,,Questionable for 2024 season
821,Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),15-Day IL,04/07/24,04/22/24,,No timetable for return
822,Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,15-Day IL,04/11/24,04/26/24,,No timetable for return
823,Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,15-Day IL,04/12/24,04/27/24,,No timetable for return
824,Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),10-Day IL,04/15/24,04/25/24,,No timetable for return
825,Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,15-Day IL,04/17/24,05/02/24,,No timetable for return
826,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
827,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
828,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
829,Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
830,Matt Foster,CHW,RP,Apr '23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
831,JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
832,Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
833,Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
834,Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
835,Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
836,Germán Márquez,COL,SP,05/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
837,José Quijada,LAA,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
838,Austin Warren,SFG,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
839,Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
840,Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
841,Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
842,Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
843,Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
844,Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
845,Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
846,Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
847,Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Expected to miss 9-10 months
848,Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
849,Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
850,Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
851,Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
852,Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
853,Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
854,Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
855,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
856,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
857,Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
858,Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
859,Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
860,Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
861,Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
862,Luis F. Ortiz,PHI,RP,03/30/24,Sprained ankle,15-Day IL,03/31/24,04/15/24,,No timetable for return
863,Scott Effross,NYY,RP,Dec '23,Back surgery,60-Day IL,03/28/24,05/27/24,,Out until at least June
864,Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),15-Day IL,03/25/24,04/09/24,,Out until at least June
865,Alex Young,CIN,RP,Feb '24,Back tightness,15-Day IL,03/25/24,04/09/24,,No timetable for return
866,Jose A. Ferrer,WSN,RP,Mar '24,Strained upper back,60-Day IL,03/28/24,05/27/24,,No timetable for return
867,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
868,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
869,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
870,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
871,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
872,Luke Jackson,SFG,RP,03/28/24,Strained lower back,15-Day IL,03/29/24,04/13/24,,No timetable for return
873,Jason Heyward,LAD,OF,03/30/24,Lower back tightness,10-Day IL,03/31/24,04/10/24,,No timetable for return
874,Cody Bradford,TEX,SP,04/10/24,Strained lower back,15-Day IL,04/11/24,04/26/24,,No timetable for return
875,Christian Yelich,MIL,OF,04/12/24,Strained lower back,10-Day IL,04/13/24,04/23/24,,No timetable for return
876,Kris Bryant,COL,1B/OF,04/13/24,Strained lower back,10-Day IL,04/14/24,04/24/24,,No timetable for return
877,Aledmys Díaz,OAK,INF/OF,02/26/24,Strained calf,60-Day IL,03/25/24,05/24/24,,No timetable for return
878,Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
879,Josh Staumont,MIN,RP,03/25/24,Strained calf,15-Day IL,03/26/24,04/10/24,,Rehab assignment (4/9)
880,John Brebbia,CHW,RP,04/05/24,Strained calf,15-Day IL,04/06/24,04/21/24,,No timetable for return
881,Carson Coleman,TEX,RP,Apr '23,Elbow surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
882,Penn Murfee,HOU,RP,Jun '23,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,No timetable for return
883,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
884,Drew Rasmussen,TBR,SP,Jul '23,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Expected to miss at least 12 months
885,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
886,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
887,Kyle Bradish,BAL,SP,Jan '24,Sprained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/16)
888,Matt Brash,SEA,RP,02/20/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
889,Josh Simpson,MIA,RP,02/27/24,Elbow ulnar neuritis,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/6)
890,Sean Hjelle,SFG,SP,02/28/24,Strained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
891,Trevor Stephan,CLE,RP,Mar '24,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
892,Gerrit Cole,NYY,SP,03/01/24,Elbow inflammation,60-Day IL,03/28/24,05/27/24,,Expected to miss at least 10-12 weeks
893,Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
894,Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
895,Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
896,Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
897,Luis Patiño,SDP,RP,03/13/24,Elbow inflammation,15-Day IL,03/17/24,04/07/24,,No timetable for return
898,Oliver Ortega,HOU,RP,03/21/24,Elbow surgery (loose body removal),60-Day IL,03/25/24,05/24/24,,Expected to miss 3-4 months
899,Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
900,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
901,Framber Valdez,HOU,SP,04/02/24,Elbow inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
902,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
903,Jonathan Loáisiga,NYY,RP,04/03/24,Torn elbow ligament (UCL),60-Day IL,04/04/24,06/03/24,,Out for 2024 season
904,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
905,Chase Silseth,LAA,SP,04/07/24,Elbow inflammation,15-Day IL,04/08/24,04/23/24,,No timetable for return
906,Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),15-Day IL,04/06/24,04/21/24,,Out for 2024 season
907,Tyler Wells,BAL,SP,04/12/24,Elbow inflammation,15-Day IL,04/13/24,04/28/24,,No timetable for return
908,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
909,Robert Stephenson,LAA,RP,04/13/24,Elbow discomfort,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
910,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
911,John Means,BAL,SP,Oct '23,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/31)
912,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
913,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
914,Ian Gibaut,CIN,RP,Feb '24,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
915,Shawn Dubin,HOU,SP,Feb '24,Strained forearm,Activated,03/25/24,04/09/24,04/13/24,Activated
916,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
917,Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
918,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
